YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2015,600212,Acton,6037910205,Census Tract 9102.05,70383.0,14590.0,75786.0,18652.0,,,,,212114.0,6589.0,,,48939.0,42954.0,,,80221.0,22163.0,50390.0,39276.0
2015,600212,Acton,6037910804,Census Tract 9108.04,112433.0,11361.0,117088.0,19799.0,,,,,,,,,,,,,116703.0,21992.0,111492.0,6823.0
2015,600212,Acton,6037910805,Census Tract 9108.05,102796.0,21280.0,116636.0,24050.0,,,,,,,,,64127.0,12128.0,,,114788.0,25387.0,63848.0,12017.0
2015,600212,Acton,6037910812,Census Tract 9108.12,95136.0,30338.0,95136.0,30338.0,,,,,,,,,,,,,93344.0,35193.0,,
2015,600212,Acton,6037910813,Census Tract 9108.13,125874.0,25736.0,114083.0,25570.0,,,,,,,,,,,240388.0,81825.0,125985.0,29706.0,92510.0,51500.0
2015,600394,Agoura Hills,6037800324,Census Tract 8003.24,162882.0,17035.0,153883.0,12114.0,,,,,250001.0,59873.0,,,,,187824.0,164534.0,151432.0,9499.0,178582.0,57560.0
2015,600394,Agoura Hills,6037800326,Census Tract 8003.26,152665.0,19575.0,146439.0,18755.0,,,,,175184.0,70370.0,,,,,177104.0,109196.0,147245.0,21812.0,,
2015,600394,Agoura Hills,6037800327,Census Tract 8003.27,95835.0,16467.0,100756.0,15615.0,,,,,85213.0,53724.0,,,,,,,102623.0,16566.0,,
2015,600394,Agoura Hills,6037800328,Census Tract 8003.28,95658.0,29246.0,91741.0,24537.0,,,,,,,,,,,,,89358.0,25591.0,112471.0,97275.0
2015,600394,Agoura Hills,6037800329,Census Tract 8003.29,121049.0,16856.0,122525.0,22735.0,,,,,,,,,,,,,122071.0,23276.0,118003.0,32037.0
2015,600394,Agoura Hills,6037800332,Census Tract 8003.32,191492.0,33060.0,192931.0,40790.0,,,,,208278.0,57790.0,,,,,,,193193.0,43534.0,133163.0,118238.0
2015,600450,Agua Dulce,6037910804,Census Tract 9108.04,112433.0,11361.0,117088.0,19799.0,,,,,,,,,,,,,116703.0,21992.0,111492.0,6823.0
2015,600450,Agua Dulce,6037910808,Census Tract 9108.08,110564.0,9563.0,107498.0,7402.0,,,,,250001.0,84810.0,,,,,158598.0,140418.0,106912.0,6740.0,121302.0,38377.0
2015,600450,Agua Dulce,6037910810,Census Tract 9108.10,151014.0,24628.0,156948.0,23418.0,,,,,108160.0,62923.0,,,234454.0,128570.0,,,163398.0,22225.0,141697.0,63071.0
2015,600450,Agua Dulce,6037910813,Census Tract 9108.13,125874.0,25736.0,114083.0,25570.0,,,,,,,,,,,240388.0,81825.0,125985.0,29706.0,92510.0,51500.0
2015,600884,Alhambra,6037480302,Census Tract 4803.02,81914.0,18355.0,101945.0,26230.0,39620.0,29592.0,,,71326.0,21331.0,,,,,117472.0,25358.0,99513.0,33459.0,100448.0,42382.0
2015,600884,Alhambra,6037480303,Census Tract 4803.03,65305.0,9476.0,51746.0,28876.0,,,,,64993.0,15616.0,,,71353.0,37180.0,,,25979.0,11740.0,67554.0,24511.0
2015,600884,Alhambra,6037480304,Census Tract 4803.04,48472.0,10081.0,59355.0,15330.0,,,,,41664.0,14163.0,,,,,,,48052.0,45353.0,56437.0,19990.0
2015,600884,Alhambra,6037480400,Census Tract 4804,80184.0,14435.0,86376.0,28128.0,,,,,78571.0,12937.0,,,61448.0,59177.0,,,90621.0,37732.0,64107.0,62838.0
2015,600884,Alhambra,6037480500,Census Tract 4805,124015.0,6335.0,125212.0,16530.0,,,,,117912.0,61929.0,,,,,75904.0,52222.0,138350.0,37531.0,105759.0,37631.0
2015,600884,Alhambra,6037480704,Census Tract 4807.04,102457.0,12438.0,86671.0,29277.0,,,,,110455.0,24265.0,,,116490.0,29926.0,140769.0,73488.0,105349.0,20582.0,84549.0,22475.0
2015,600884,Alhambra,6037480802,Census Tract 4808.02,73517.0,27667.0,89838.0,51483.0,,,,,56437.0,26998.0,,,105175.0,48238.0,,,,,104187.0,40687.0
