YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2021,600884,Alhambra,6037481800,Census Tract 4818,123048.0,27856.0,89689.0,67819.0,,,,,143783.0,60096.0,,,158977.0,113040.0,,,119584.0,83442.0,130527.0,49982.0
2021,600884,Alhambra,6037481901,Census Tract 4819.01,104109.0,18876.0,126666.0,14767.0,,,,,103640.0,37824.0,,,91598.0,52786.0,99313.0,34893.0,120288.0,103817.0,100708.0,22991.0
2021,600884,Alhambra,6037481902,Census Tract 4819.02,77699.0,10060.0,61129.0,18098.0,,,,,91804.0,9898.0,,,59449.0,24655.0,,,55821.0,40291.0,61031.0,6415.0
2021,601150,Alondra Park,6037603702,Census Tract 6037.02,126555.0,20199.0,118881.0,40656.0,,,,,128026.0,29770.0,,,151802.0,83446.0,,,120891.0,40429.0,132246.0,34273.0
2021,601150,Alondra Park,6037603706,Census Tract 6037.06,48672.0,7434.0,48433.0,9619.0,46503.0,13195.0,,,,,,,44860.0,8370.0,71376.0,35963.0,,,50049.0,6961.0
2021,601290,Altadena,6037460101,Census Tract 4601.01,162158.0,40030.0,171840.0,45478.0,90615.0,19819.0,,,250001.0,,,,250001.0,166665.0,233598.0,132019.0,194618.0,64154.0,161611.0,37558.0
2021,601290,Altadena,6037460200,Census Tract 4602,134146.0,27785.0,143609.0,55532.0,122348.0,65224.0,,,141102.0,97894.0,,,,,241077.0,39812.0,143609.0,55532.0,132903.0,127490.0
2021,601290,Altadena,6037460301,Census Tract 4603.01,178360.0,31126.0,192461.0,20406.0,,,130019.0,89819.0,197019.0,172576.0,,,,,,,191863.0,23502.0,191719.0,77567.0
2021,601290,Altadena,6037460302,Census Tract 4603.02,72522.0,28395.0,119995.0,43319.0,44183.0,10414.0,,,,,,,89055.0,9570.0,,,154522.0,58525.0,75092.0,37499.0
2021,601290,Altadena,6037460401,Census Tract 4604.01,121413.0,27717.0,144029.0,79425.0,124956.0,30259.0,,,,,,,71400.0,52560.0,,,145084.0,139689.0,70696.0,28629.0
2021,601290,Altadena,6037461000,Census Tract 4610,124641.0,19583.0,121636.0,17306.0,126482.0,73643.0,203997.0,159393.0,159863.0,66651.0,,,75100.0,61796.0,,,171991.0,54910.0,98532.0,38748.0
2021,601290,Altadena,6037461100,Census Tract 4611,124368.0,17630.0,128410.0,31848.0,83787.0,23194.0,,,201887.0,162230.0,,,130210.0,46240.0,147488.0,144933.0,120537.0,39295.0,131098.0,19523.0
2021,601290,Altadena,6037461200,Census Tract 4612,190740.0,28206.0,187784.0,40723.0,194911.0,57989.0,,,192859.0,44780.0,,,,,,,187784.0,38548.0,106390.0,105988.0
2021,601290,Altadena,6037461300,Census Tract 4613,102219.0,36473.0,111319.0,30052.0,,,,,,,,,61174.0,39169.0,,,118468.0,34409.0,63367.0,14355.0
2021,601290,Altadena,6037462500,Census Tract 4625,124985.0,37887.0,103234.0,17037.0,,,,,164330.0,45447.0,,,,,,,96466.0,29195.0,103243.0,55781.0
2021,602462,Arcadia,6037430400,Census Tract 4304,172436.0,40527.0,175625.0,76896.0,,,,,158664.0,72411.0,,,,,,,173093.0,41322.0,,
2021,602462,Arcadia,6037430600,Census Tract 4306,191420.0,41573.0,152943.0,19894.0,,,,,185708.0,38090.0,,,193816.0,67532.0,246188.0,836.0,153037.0,18410.0,193704.0,47862.0
