YEAR,FIPS,PLACE,GEO_ID,NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,2023_CPI_DOLLARS_ADJ_FACTOR
2022,600212,Acton,6037910213,Census Tract 9102.13,132178.0,28335.0,132302.0,55765.0,,,,,,,,,113524.0,68791.0,,,178527.0,104900.0,82552.0,73009.0,1.039119804400978
2022,600212,Acton,6037910804,Census Tract 9108.04,133504.0,23941.0,148320.0,18834.0,,,,,107498.0,10424.0,,,,,249490.0,,156662.0,30491.0,105130.0,49028.0,1.039119804400978
2022,600212,Acton,6037910814,Census Tract 9108.14,118950.0,19334.0,117940.0,34762.0,,,,,148796.0,110615.0,,,132434.0,56974.0,,,116360.0,32729.0,130431.0,61114.0,1.039119804400978
2022,600212,Acton,6037910815,Census Tract 9108.15,115324.0,28291.0,123395.0,24901.0,,,,,,,,,122746.0,60894.0,17055.0,725.0,122746.0,26754.0,94615.0,74073.0,1.039119804400978
2022,600394,Agoura Hills,6037800324,Census Tract 8003.24,160324.0,25517.0,157557.0,40073.0,,,,,249490.0,,,,,,160944.0,122926.0,161881.0,41075.0,,,1.039119804400978
2022,600394,Agoura Hills,6037800328,Census Tract 8003.28,249490.0,,249490.0,,,,,,249490.0,,,,,,,,249490.0,,249490.0,,1.039119804400978
2022,600394,Agoura Hills,6037800333,Census Tract 8003.33,110796.0,32517.0,98293.0,34163.0,,,,,117968.0,67492.0,,,,,136495.0,1522.0,98505.0,43408.0,,,1.039119804400978
2022,600394,Agoura Hills,6037800334,Census Tract 8003.34,179248.0,49288.0,191480.0,11902.0,,,,,,,,,,,,,192946.0,31141.0,98802.0,58958.0,1.039119804400978
2022,600394,Agoura Hills,6037800335,Census Tract 8003.35,138447.0,40650.0,142879.0,47624.0,,,,,,,,,,,243822.0,203428.0,145153.0,46028.0,,,1.039119804400978
2022,600394,Agoura Hills,6037800336,Census Tract 8003.36,229581.0,41792.0,208208.0,40487.0,,,,,,,,,,,237420.0,66460.0,205626.0,30725.0,249490.0,62733.0,1.039119804400978
2022,600394,Agoura Hills,6037800338,Census Tract 8003.38,206669.0,23855.0,202386.0,35897.0,,,,,117063.0,60421.0,,,,,218345.0,63959.0,213512.0,34087.0,,,1.039119804400978
2022,600450,Agua Dulce,6037910808,Census Tract 9108.08,109324.0,27684.0,131411.0,32622.0,,,,,177084.0,79381.0,,,97417.0,36392.0,103003.0,5921.0,131597.0,32798.0,103073.0,10714.0,1.039119804400978
2022,600450,Agua Dulce,6037910810,Census Tract 9108.10,179171.0,61105.0,212154.0,20764.0,,,,,162588.0,105575.0,,,,,,,213577.0,15392.0,,,1.039119804400978
2022,600450,Agua Dulce,6037910814,Census Tract 9108.14,118950.0,19334.0,117940.0,34762.0,,,,,148796.0,110615.0,,,132434.0,56974.0,,,116360.0,32729.0,130431.0,61114.0,1.039119804400978
2022,600884,Alhambra,6037480302,Census Tract 4803.02,106710.0,20037.0,93496.0,12705.0,,,,,88152.0,29040.0,,,,,,,107858.0,50126.0,95382.0,20557.0,1.039119804400978
2022,600884,Alhambra,6037480303,Census Tract 4803.03,92835.0,7538.0,96696.0,32054.0,97937.0,31382.0,,,94386.0,14471.0,,,67543.0,38514.0,85439.0,22731.0,89913.0,27934.0,96475.0,14701.0,1.039119804400978
2022,600884,Alhambra,6037480304,Census Tract 4803.04,71561.0,13991.0,81887.0,2157.0,,,,,65004.0,10607.0,,,79990.0,14738.0,57541.0,40961.0,83073.0,68935.0,71277.0,17216.0,1.039119804400978
2022,600884,Alhambra,6037480400,Census Tract 4804,89696.0,20267.0,90523.0,73212.0,,,,,81993.0,21644.0,,,151176.0,64377.0,,,122210.0,74850.0,113975.0,35251.0,1.039119804400978
2022,600884,Alhambra,6037480802,Census Tract 4808.02,117321.0,28706.0,119735.0,52694.0,,,,,104703.0,44893.0,,,117886.0,75021.0,117408.0,46572.0,,,117500.0,42844.0,1.039119804400978
2022,600884,Alhambra,6037480803,Census Tract 4808.03,114679.0,35704.0,132717.0,13589.0,,,,,100827.0,49376.0,,,70676.0,38652.0,,,153817.0,33380.0,95830.0,56543.0,1.039119804400978
2022,600884,Alhambra,6037480804,Census Tract 4808.04,86717.0,12974.0,118003.0,18025.0,93521.0,16204.0,,,76635.0,33038.0,,,58274.0,49944.0,,,119932.0,6715.0,84733.0,29991.0,1.039119804400978
2022,600884,Alhambra,6037480901,Census Tract 4809.01,78111.0,15179.0,94899.0,21531.0,,,,,67651.0,24257.0,,,82511.0,39112.0,,,111984.0,49636.0,80779.0,25906.0,1.039119804400978
2022,600884,Alhambra,6037480902,Census Tract 4809.02,61536.0,32699.0,87626.0,24043.0,,,,,34984.0,21066.0,,,82350.0,31573.0,,,93720.0,51967.0,81485.0,22012.0,1.039119804400978
2022,600884,Alhambra,6037480903,Census Tract 4809.03,84558.0,25006.0,128246.0,5743.0,,,,,61234.0,28978.0,,,119678.0,39922.0,140845.0,68188.0,128552.0,967.0,119902.0,15494.0,1.039119804400978
2022,600884,Alhambra,6037481001,Census Tract 4810.01,71013.0,13400.0,60529.0,20856.0,,,,,74037.0,24703.0,,,71881.0,25861.0,,,65194.0,46158.0,61063.0,9857.0,1.039119804400978
2022,600884,Alhambra,6037481002,Census Tract 4810.02,84842.0,10330.0,96768.0,26006.0,,,,,67244.0,27000.0,,,72698.0,20811.0,102856.0,13835.0,103912.0,26880.0,81803.0,16865.0,1.039119804400978
2022,600884,Alhambra,6037481500,Census Tract 4815,75436.0,15240.0,59100.0,49636.0,,,,,76036.0,19919.0,,,,,,,,,74903.0,62273.0,1.039119804400978
2022,600884,Alhambra,6037481603,Census Tract 4816.03,83009.0,23035.0,135735.0,44135.0,,,,,104706.0,14457.0,,,44788.0,36715.0,,,137126.0,47733.0,42864.0,22839.0,1.039119804400978
2022,600884,Alhambra,6037481604,Census Tract 4816.04,87242.0,27033.0,115472.0,89079.0,,,,,58667.0,26064.0,,,113654.0,33888.0,,,,,124550.0,28862.0,1.039119804400978
2022,600884,Alhambra,6037481605,Census Tract 4816.05,100102.0,19039.0,106250.0,34654.0,,,,,67303.0,26128.0,,,113719.0,35485.0,133787.0,51726.0,100535.0,58539.0,116522.0,9318.0,1.039119804400978
2022,600884,Alhambra,6037481606,Census Tract 4816.06,68873.0,10862.0,66615.0,22317.0,,,,,66812.0,14328.0,,,78622.0,44068.0,90173.0,18776.0,70759.0,4752.0,84161.0,21806.0,1.039119804400978
2022,600884,Alhambra,6037481800,Census Tract 4818,105211.0,45797.0,73969.0,36422.0,,,,,113330.0,57369.0,,,131746.0,61993.0,,,,,109757.0,86466.0,1.039119804400978
2022,600884,Alhambra,6037481901,Census Tract 4819.01,100671.0,9952.0,124723.0,19091.0,,,,,65873.0,32937.0,,,91206.0,66775.0,100312.0,22536.0,111705.0,52268.0,100990.0,23602.0,1.039119804400978
2022,600884,Alhambra,6037481902,Census Tract 4819.02,77527.0,12032.0,62617.0,17601.0,,,,,88989.0,12215.0,,,73194.0,30938.0,202758.0,189328.0,56801.0,43455.0,73907.0,23239.0,1.039119804400978
2022,601150,Alondra Park,6037603702,Census Tract 6037.02,117550.0,24896.0,103912.0,32380.0,,,,,108303.0,31880.0,,,158899.0,46260.0,,,105801.0,41157.0,131988.0,37583.0,1.039119804400978
2022,601150,Alondra Park,6037603706,Census Tract 6037.06,60494.0,19843.0,52640.0,15347.0,52100.0,31130.0,148886.0,138610.0,,,,,44664.0,16414.0,73736.0,16053.0,,,61158.0,23695.0,1.039119804400978
2022,601290,Altadena,6037460101,Census Tract 4601.01,181949.0,50085.0,188804.0,66729.0,88994.0,38835.0,,,,,,,249490.0,,195268.0,193447.0,196843.0,87299.0,166259.0,43962.0,1.039119804400978
2022,601290,Altadena,6037460200,Census Tract 4602,144234.0,30140.0,144977.0,66887.0,123071.0,63347.0,,,196053.0,130033.0,,,134865.0,19040.0,239510.0,88203.0,144977.0,66887.0,143786.0,44786.0,1.039119804400978
2022,601290,Altadena,6037460301,Census Tract 4603.01,181125.0,20131.0,203927.0,48910.0,105953.0,93084.0,,,,,,,174378.0,13922.0,129319.0,36074.0,224629.0,59337.0,176001.0,147688.0,1.039119804400978
2022,601290,Altadena,6037460302,Census Tract 4603.02,71439.0,28899.0,125128.0,52676.0,43444.0,6234.0,,,,,,,91370.0,29850.0,,,133787.0,37717.0,70844.0,48714.0,1.039119804400978
2022,601290,Altadena,6037460401,Census Tract 4604.01,120538.0,27197.0,,,122596.0,38097.0,,,,,,,71794.0,17313.0,,,211721.0,162799.0,71912.0,18977.0,1.039119804400978
2022,601290,Altadena,6037461000,Census Tract 4610,125234.0,14560.0,135897.0,35087.0,150200.0,107369.0,215617.0,151253.0,160816.0,57447.0,,,71439.0,27467.0,,,176451.0,81906.0,74972.0,21645.0,1.039119804400978
2022,601290,Altadena,6037461100,Census Tract 4611,129480.0,22593.0,145272.0,43914.0,80243.0,60438.0,,,243056.0,87371.0,,,131877.0,39471.0,,,143289.0,49622.0,140658.0,28548.0,1.039119804400978
2022,601290,Altadena,6037461200,Census Tract 4612,174053.0,39579.0,167758.0,33391.0,195413.0,85464.0,,,205935.0,47255.0,,,,,,,170070.0,34018.0,106907.0,37343.0,1.039119804400978
2022,601290,Altadena,6037461300,Census Tract 4613,97520.0,35425.0,101603.0,33674.0,,,,,207638.0,185219.0,,,65378.0,17296.0,,,100990.0,38246.0,,,1.039119804400978
2022,601290,Altadena,6037462500,Census Tract 4625,123041.0,42219.0,103912.0,14072.0,153152.0,90332.0,,,141799.0,26163.0,,,,,,,102892.0,20639.0,,,1.039119804400978
2022,602462,Arcadia,6037430400,Census Tract 4304,188340.0,60041.0,222876.0,69900.0,,,,,211071.0,95389.0,,,,,,,188629.0,81387.0,,,1.039119804400978
2022,602462,Arcadia,6037430600,Census Tract 4306,189828.0,37550.0,156193.0,5406.0,,,,,190584.0,54109.0,,,191883.0,62104.0,248103.0,339.0,156554.0,9260.0,191489.0,53187.0,1.039119804400978
2022,602462,Arcadia,6037430701,Census Tract 4307.01,107971.0,23326.0,88425.0,24983.0,,,,,126565.0,11909.0,,,94386.0,86673.0,128108.0,48935.0,85035.0,8132.0,114255.0,24142.0,1.039119804400978
2022,602462,Arcadia,6037430721,Census Tract 4307.21,79285.0,29701.0,112491.0,28062.0,,,,,77039.0,13285.0,,,,,163806.0,117031.0,112642.0,22692.0,100015.0,31414.0,1.039119804400978
2022,602462,Arcadia,6037430723,Census Tract 4307.23,76427.0,17720.0,56264.0,28603.0,76735.0,74781.0,,,95568.0,35284.0,,,92073.0,997.0,61048.0,23582.0,73426.0,33281.0,56610.0,22757.0,1.039119804400978
2022,602462,Arcadia,6037430724,Census Tract 4307.24,104319.0,15532.0,97990.0,65303.0,86729.0,749.0,,,110666.0,15496.0,,,82737.0,55300.0,140931.0,131195.0,124753.0,62540.0,84614.0,35786.0,1.039119804400978
2022,602462,Arcadia,6037430801,Census Tract 4308.01,114159.0,54898.0,71541.0,14341.0,,,,,119399.0,6118.0,,,,,75492.0,44547.0,,,71925.0,21603.0,1.039119804400978
2022,602462,Arcadia,6037430802,Census Tract 4308.02,139318.0,20471.0,137976.0,53221.0,,,,,143172.0,23234.0,,,,,,,149015.0,34299.0,,,1.039119804400978
2022,602462,Arcadia,6037430803,Census Tract 4308.03,111465.0,27304.0,104279.0,23611.0,,,,,143497.0,68437.0,,,42761.0,1016.0,182008.0,79293.0,103978.0,28544.0,86069.0,73960.0,1.039119804400978
2022,602462,Arcadia,6037431300,Census Tract 4313,113524.0,25649.0,130261.0,30313.0,86767.0,45570.0,,,107561.0,12701.0,,,76635.0,74099.0,132864.0,97920.0,134112.0,45783.0,81181.0,70236.0,1.039119804400978
2022,602462,Arcadia,6037431400,Census Tract 4314,82090.0,39187.0,85394.0,49759.0,,,50315.0,1769.0,121231.0,33419.0,,,,,,,83163.0,34721.0,113350.0,80357.0,1.039119804400978
