YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037554521,Census Tract 5545.21,Lakewood,Los Angeles County,California,Lakewood,103730.0,9196.0,81466.0,28259.0,86539.0,8133.0,,,137533.0,41330.0,,,54342.0,72940.0,15718.0,46831.0,67094.0,14738.0,123398.0,34247.0
2013,6037555001,Census Tract 5550.01,Lakewood,Los Angeles County,California,Lakewood,84196.0,17915.0,94110.0,39463.0,83751.0,50441.0,,,98766.0,23194.0,,,53241.0,9967.0,78466.0,153311.0,104864.0,21844.0,63754.0,13425.0
2013,6037555002,Census Tract 5550.02,Lakewood,Los Angeles County,California,Lakewood,74154.0,11640.0,78496.0,30332.0,60996.0,53787.0,,,142231.0,88099.0,,,56404.0,20624.0,48561.0,67697.0,78058.0,40413.0,62650.0,12894.0
2013,6037555102,Census Tract 5551.02,Lakewood,Los Angeles County,California,Lakewood,71132.0,20057.0,85393.0,11796.0,56152.0,4419.0,,,56655.0,18317.0,,,70614.0,30351.0,131511.0,29185.0,106741.0,22582.0,64983.0,28016.0
2013,6037555103,Census Tract 5551.03,Lakewood,Los Angeles County,California,Lakewood,93276.0,13608.0,94618.0,34285.0,90429.0,62542.0,,,96739.0,57078.0,,,82520.0,38338.0,187460.0,128945.0,95451.0,44231.0,93169.0,20260.0
2013,6037555104,Census Tract 5551.04,Lakewood,Los Angeles County,California,Lakewood,86189.0,7302.0,85536.0,10082.0,54361.0,17757.0,,,93536.0,30887.0,,,103799.0,15473.0,84024.0,53631.0,88677.0,22129.0,85393.0,10206.0
2013,6037570001,Census Tract 5700.01,Lakewood,Los Angeles County,California,Lakewood,113552.0,15515.0,114180.0,17203.0,142459.0,142789.0,,,110026.0,47842.0,,,116405.0,42695.0,114717.0,93718.0,106891.0,21419.0,121521.0,13982.0
2013,6037570002,Census Tract 5700.02,Lakewood,Los Angeles County,California,Lakewood,121446.0,17708.0,123867.0,16374.0,102226.0,18294.0,87035.0,239156.0,183650.0,84181.0,,,195009.0,102533.0,73898.0,69199.0,113721.0,19244.0,137474.0,28611.0
2013,6037570003,Census Tract 5700.03,Lakewood,Los Angeles County,California,Lakewood,98428.0,12582.0,101405.0,24585.0,136059.0,55358.0,,,85229.0,32204.0,,,89827.0,206051.0,97247.0,33395.0,116208.0,24221.0,88336.0,33489.0
2013,6037570100,Census Tract 5701,Lakewood,Los Angeles County,California,Lakewood,104278.0,24118.0,109821.0,33443.0,74250.0,46219.0,,,105040.0,47870.0,,,73748.0,48627.0,127359.0,39980.0,108520.0,44117.0,144747.0,106430.0
2013,6037570701,Census Tract 5707.01,Lakewood,Los Angeles County,California,Lakewood,85032.0,11616.0,82109.0,18970.0,83751.0,16194.0,,,134485.0,64827.0,,,51455.0,55076.0,113142.0,47585.0,98278.0,32061.0,63895.0,42544.0
2013,6037570702,Census Tract 5707.02,Lakewood,Los Angeles County,California,Lakewood,96107.0,34177.0,80666.0,17450.0,147522.0,25749.0,,,127782.0,16380.0,,,131702.0,100333.0,,,80069.0,20556.0,109697.0,45244.0
2013,6037570800,Census Tract 5708,Lakewood,Los Angeles County,California,Lakewood,100957.0,11661.0,91753.0,19504.0,45018.0,129080.0,,,79441.0,50551.0,,,130280.0,16917.0,101542.0,106417.0,99469.0,18400.0,110354.0,30361.0
2013,6037570901,Census Tract 5709.01,Lakewood,Los Angeles County,California,Lakewood,120684.0,16893.0,125285.0,25883.0,43012.0,21174.0,,,120817.0,5573.0,,,172863.0,70487.0,,,116893.0,31280.0,148832.0,39734.0
2013,6037570902,Census Tract 5709.02,Lakewood,Los Angeles County,California,Lakewood,104943.0,8174.0,102440.0,7663.0,123476.0,19129.0,,,206586.0,237638.0,,,94500.0,170764.0,,,101176.0,8826.0,104667.0,42984.0
2013,6037571000,Census Tract 5710,Lakewood,Los Angeles County,California,Lakewood,113721.0,13005.0,115572.0,11703.0,117514.0,87253.0,,,109843.0,131721.0,,,90720.0,2003.0,72913.0,93972.0,113146.0,20132.0,113064.0,34742.0
2013,6037571101,Census Tract 5711.01,Lakewood,Los Angeles County,California,Lakewood,114131.0,20502.0,106095.0,14328.0,155641.0,21706.0,,,123662.0,30799.0,,,111187.0,33540.0,,,101965.0,8429.0,125701.0,34287.0
2013,6037571102,Census Tract 5711.02,Lakewood,Los Angeles County,California,Lakewood,111865.0,9963.0,107668.0,6663.0,,,,,158247.0,88847.0,,,133837.0,45621.0,133762.0,2901.0,107626.0,12579.0,131720.0,42950.0
2013,6037571200,Census Tract 5712,Lakewood,Los Angeles County,California,Lakewood,100843.0,6362.0,99106.0,12721.0,104210.0,91502.0,,,63272.0,100803.0,,,106624.0,50495.0,230250.0,240688.0,101815.0,14996.0,100087.0,7570.0
2013,6037571300,Census Tract 5713,Lakewood,Los Angeles County,California,Lakewood,110026.0,20555.0,114850.0,27231.0,139674.0,36934.0,,,87552.0,6596.0,,,67627.0,53297.0,137252.0,31029.0,125444.0,21859.0,73460.0,21088.0
2013,6037571400,Census Tract 5714,Lakewood,Los Angeles County,California,Lakewood,106741.0,16811.0,113893.0,13349.0,88633.0,26281.0,,,113683.0,15394.0,,,89023.0,69482.0,143986.0,31279.0,103895.0,23995.0,101626.0,35798.0
2013,6037571503,Census Tract 5715.03,Lakewood,Los Angeles County,California,Lakewood,112552.0,43135.0,108384.0,64226.0,77182.0,51132.0,,,138380.0,54293.0,,,133289.0,26694.0,,,82291.0,59181.0,158250.0,51375.0
2013,6037571504,Census Tract 5715.04,Lakewood,Los Angeles County,California,Lakewood,80765.0,24648.0,112547.0,50475.0,35906.0,30778.0,,,135169.0,54410.0,,,58594.0,21033.0,54072.0,1247.0,139277.0,25534.0,58297.0,4371.0
2013,6037571900,Census Tract 5719,Lakewood,Los Angeles County,California,Lakewood,93289.0,12574.0,94114.0,12551.0,72181.0,107421.0,,,80214.0,254259.0,,,103846.0,122204.0,74695.0,24009.0,99036.0,16372.0,93662.0,20115.0
2011,6037554521,Census Tract 5545.21,Lakewood,Los Angeles County,California,Lakewood,97236.0,19583.0,103466.0,16721.0,81398.0,24396.0,,,103604.0,27557.0,,,109348.0,163385.0,15787.0,9322.0,75310.0,53935.0,147725.0,76846.0
2011,6037555001,Census Tract 5550.01,Lakewood,Los Angeles County,California,Lakewood,92338.0,13041.0,94616.0,17261.0,112779.0,46040.0,,,109866.0,28268.0,,,57753.0,23752.0,132748.0,163746.0,94709.0,25744.0,71021.0,9107.0
2011,6037555002,Census Tract 5550.02,Lakewood,Los Angeles County,California,Lakewood,90632.0,12898.0,107390.0,26247.0,90744.0,52414.0,,,88120.0,57688.0,,,57468.0,33051.0,116726.0,22961.0,97291.0,32773.0,80395.0,24102.0
2011,6037555102,Census Tract 5551.02,Lakewood,Los Angeles County,California,Lakewood,77405.0,13412.0,82934.0,11788.0,60539.0,16331.0,,,83951.0,28442.0,,,82616.0,29657.0,93604.0,58033.0,87009.0,20766.0,82234.0,11981.0
2011,6037555103,Census Tract 5551.03,Lakewood,Los Angeles County,California,Lakewood,100412.0,13312.0,100860.0,22492.0,83393.0,17086.0,80131.0,51197.0,130118.0,75415.0,,,116520.0,30939.0,188230.0,183066.0,100144.0,32058.0,116678.0,24853.0
2011,6037555104,Census Tract 5551.04,Lakewood,Los Angeles County,California,Lakewood,94285.0,10070.0,66885.0,48093.0,49355.0,19105.0,,,101263.0,8930.0,,,91728.0,34173.0,113217.0,44007.0,76926.0,48553.0,89645.0,23817.0
2011,6037570001,Census Tract 5700.01,Lakewood,Los Angeles County,California,Lakewood,114483.0,11382.0,114650.0,17008.0,161680.0,103787.0,,,108354.0,69090.0,,,116038.0,23090.0,150850.0,100452.0,110482.0,29063.0,117638.0,9268.0
2011,6037570002,Census Tract 5700.02,Lakewood,Los Angeles County,California,Lakewood,104461.0,12133.0,110779.0,31292.0,112724.0,126842.0,,,99432.0,13504.0,,,103929.0,68953.0,115835.0,94229.0,107050.0,28689.0,103816.0,38742.0
2011,6037570003,Census Tract 5700.03,Lakewood,Los Angeles County,California,Lakewood,97933.0,13746.0,95824.0,21772.0,94769.0,92474.0,,,107463.0,31379.0,,,90687.0,175726.0,97971.0,100555.0,94077.0,10337.0,136544.0,42086.0
2011,6037570100,Census Tract 5701,Lakewood,Los Angeles County,California,Lakewood,103695.0,25308.0,105387.0,24684.0,73579.0,63218.0,,,104043.0,258813.0,134948.0,63019.0,45035.0,102132.0,,,88499.0,33286.0,105673.0,126984.0
2011,6037570701,Census Tract 5707.01,Lakewood,Los Angeles County,California,Lakewood,83744.0,7015.0,84883.0,31466.0,79422.0,17863.0,16623.0,309563.0,147571.0,73959.0,,,81307.0,6613.0,29849.0,242668.0,100644.0,26027.0,79879.0,12635.0
2011,6037570702,Census Tract 5707.02,Lakewood,Los Angeles County,California,Lakewood,122755.0,41788.0,122996.0,39295.0,148348.0,221434.0,,,128167.0,42787.0,,,98947.0,25055.0,,,124239.0,30024.0,100460.0,28697.0
2011,6037570800,Census Tract 5708,Lakewood,Los Angeles County,California,Lakewood,113006.0,14421.0,115924.0,20073.0,175557.0,192899.0,56589.0,34549.0,78855.0,49862.0,40505.0,328306.0,130345.0,22397.0,155789.0,2726.0,105896.0,23813.0,130668.0,20027.0
2011,6037570901,Census Tract 5709.01,Lakewood,Los Angeles County,California,Lakewood,123938.0,15156.0,128101.0,21905.0,88963.0,97784.0,,,118761.0,18533.0,303648.0,220101.0,171892.0,96669.0,,,130570.0,31262.0,129223.0,34004.0
2011,6037570902,Census Tract 5709.02,Lakewood,Los Angeles County,California,Lakewood,108403.0,21411.0,105864.0,13077.0,120495.0,115792.0,,,212494.0,72312.0,3402.0,,94739.0,179944.0,,,105951.0,12627.0,94314.0,102354.0
2011,6037571000,Census Tract 5710,Lakewood,Los Angeles County,California,Lakewood,112456.0,16839.0,104483.0,15864.0,118636.0,115244.0,133882.0,13565.0,162167.0,138001.0,,,91903.0,90364.0,75564.0,135294.0,105944.0,16747.0,100055.0,21291.0
2011,6037571101,Census Tract 5711.01,Lakewood,Los Angeles County,California,Lakewood,122569.0,16379.0,121336.0,17410.0,91335.0,11574.0,,,123814.0,27635.0,,,111032.0,44603.0,,,119906.0,19496.0,112189.0,49938.0
