YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013B_001E,B19013B_001M
2010,6037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,60800.0,23151.0
2010,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,66333.0,18031.0
2010,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,64083.0,133882.0
2010,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,83438.0,49049.0
2010,6037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,83693.0,90077.0
2010,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,,
2010,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,121908.0,27510.0
2010,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,39544.0,81324.0
2010,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,,
2010,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2010,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2010,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2010,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2010,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2010,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2010,6037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,,
2010,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,103636.0,94116.0
2010,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,72237.0,22224.0
2010,6037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,46048.0,29983.0
2010,6037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,,
2010,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,106250.0,95213.0
2010,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,41635.0,138390.0
2010,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,98804.0,57396.0
2010,6037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,,
2010,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,48409.0,47751.0
2010,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,,
2010,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,,
2010,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,,
2010,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,,
2010,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,59722.0,2087.0
2010,6037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,77841.0,116626.0
2010,6037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,,
2010,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404801,Census Tract 4048.01,Baldwin Park,Los Angeles County,California,BaldwinPark,85250.0,145228.0
2010,6037404802,Census Tract 4048.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404803,Census Tract 4048.03,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,77000.0,10729.0
2010,6037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,72625.0,6646.0
2010,6037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,51042.0,29077.0
2010,6037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037406901,Census Tract 4069.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2010,6037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,,
2010,6037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,,
2010,6037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,,
2010,6037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,,
2010,6037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,,
2010,6037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,53365.0,21278.0
2010,6037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,,
2010,6037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,,
2010,6037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,,
2010,6037551900,Census Tract 5519,Bellflower,Los Angeles County,California,Bellflower,46250.0,14644.0
2010,6037553000,Census Tract 5530,Bellflower,Los Angeles County,California,Bellflower,49154.0,102413.0
2010,6037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,49969.0,17731.0
2010,6037553200,Census Tract 5532,Bellflower,Los Angeles County,California,Bellflower,113935.0,24024.0
2010,6037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,116827.0,160000.0
2010,6037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,80408.0,51144.0
2010,6037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,51667.0,11327.0
2010,6037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,16042.0,55487.0
2010,6037554103,Census Tract 5541.03,Bellflower,Los Angeles County,California,Bellflower,69405.0,139593.0
2010,6037554104,Census Tract 5541.04,Bellflower,Los Angeles County,California,Bellflower,36048.0,27017.0
2010,6037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,48750.0,34866.0
2010,6037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,84258.0,41149.0
2010,6037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,56901.0,17893.0
2010,6037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,61471.0,34327.0
2010,6037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,37738.0,17927.0
2010,6037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,27279.0,22701.0
2010,6037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,28873.0,4347.0
2010,6037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,50300.0,22248.0
2010,6037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,23438.0,33723.0
2010,6037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,32143.0,17577.0
2010,6037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,7188.0,64861.0
2010,6037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,14886.0,75924.0
2010,6037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,,
2010,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2010,6037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2010,6037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,60313.0,1815.0
2010,6037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2010,6037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,25333.0,10986.0
2010,6037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2010,6037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,146017.0,5783.0
