YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2024,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,205795.0,127429.0
2024,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,170865.0,20732.0
2024,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,154063.0,48070.0
2024,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,91775.0,18597.0
2024,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,161196.0,65663.0
2024,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,165000.0,54462.0
2024,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,105962.0,15858.0
2024,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,203050.0,30585.0
2024,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,169896.0,24912.0
2024,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,180703.0,76249.0
2024,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,207000.0,41505.0
2024,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,135313.0,22219.0
2024,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,191964.0,69074.0
2024,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,154063.0,48070.0
2024,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,95625.0,27544.0
2024,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,84049.0,3611.0
2024,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,125313.0,71863.0
2024,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,158375.0,42246.0
2024,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,91447.0,26711.0
2024,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,164773.0,50563.0
2024,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,133775.0,936.0
2024,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,87375.0,33745.0
2024,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,113103.0,55081.0
2024,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,140893.0,90537.0
2024,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,35819.0,23384.0
2024,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,103750.0,41291.0
2024,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,73819.0,69478.0
2024,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,102083.0,67602.0
2024,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,194038.0,75242.0
2024,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,98527.0,14797.0
2024,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,,
2024,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,152014.0,108313.0
2024,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,127159.0,56359.0
2024,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,190764.0,64433.0
2024,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,172708.0,64835.0
