YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2023,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,200446.0,103402.0
2023,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,159479.0,18921.0
2023,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,116580.0,44189.0
2023,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,92065.0,27681.0
2023,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,158864.0,64568.0
2023,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2023,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,110184.0,34764.0
2023,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,196553.0,54662.0
2023,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,139375.0,44322.0
2023,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,203250.0,67742.0
2023,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,221875.0,27575.0
2023,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,127625.0,13124.0
2023,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,202969.0,56892.0
2023,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,116580.0,44189.0
2023,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,106735.0,105446.0
2023,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,95987.0,29102.0
2023,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,82324.0,52729.0
2023,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,90365.0,46666.0
2023,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,,
