YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013H_001E,B19013H_001M
2014,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,50046.0,46684.0
2014,6037431700,Census Tract 4317,Arcadia,Los Angeles County,California,Arcadia,73854.0,29057.0
2014,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,60331.0,34365.0
2014,6037431900,Census Tract 4319,Arcadia,Los Angeles County,California,Arcadia,39531.0,19943.0
2014,6037432500,Census Tract 4325,Arcadia,Los Angeles County,California,Arcadia,40662.0,23574.0
2014,6037463101,Census Tract 4631.01,Arcadia,Los Angeles County,California,Arcadia,64115.0,33211.0
2014,6037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,59276.0,11803.0
2014,6037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,61359.0,6713.0
2014,6037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,93021.0,31428.0
2014,6037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,74306.0,22540.0
2014,6037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,51500.0,12102.0
2014,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,36917.0,58629.0
2014,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,69500.0,27676.0
2014,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,51465.0,6632.0
2014,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,73571.0,13714.0
2014,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,118036.0,56342.0
2014,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,108750.0,147883.0
2014,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,38125.0,26716.0
2014,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,44886.0,17860.0
2014,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,51667.0,52191.0
2014,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,72474.0,12052.0
2014,6037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,122500.0,40193.0
2014,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,61071.0,15833.0
2014,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,81719.0,11255.0
2014,6037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,74712.0,18486.0
2014,6037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,55417.0,19685.0
2014,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,55686.0,7519.0
2014,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,29271.0,23415.0
2014,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,55833.0,39320.0
2014,6037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,39787.0,9293.0
2014,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,42898.0,19785.0
2014,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,53984.0,10468.0
2014,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,60469.0,29458.0
2014,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,44773.0,20108.0
2014,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,57250.0,34126.0
2014,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,83281.0,27825.0
2014,6037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,26875.0,20607.0
