YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M
2024,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,142661.0,9980.0
2024,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,155625.0,17002.0
2024,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,134250.0,25556.0
2024,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,95435.0,12470.0
2024,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,164289.0,43271.0
2024,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,173125.0,117060.0
2024,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,107050.0,12830.0
2024,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,195332.0,24359.0
2024,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,169410.0,32526.0
2024,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,210821.0,31489.0
2024,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,204139.0,25353.0
2024,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,120625.0,22911.0
2024,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,152778.0,28532.0
2024,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,134250.0,25556.0
2024,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,110000.0,24454.0
2024,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,96105.0,9318.0
2024,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,78165.0,12562.0
2024,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,93341.0,11927.0
2024,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,111375.0,32950.0
2024,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,114531.0,18883.0
2024,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,91291.0,10272.0
2024,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,80877.0,15220.0
2024,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,64932.0,10736.0
2024,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,106250.0,35538.0
2024,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,74018.0,10741.0
2024,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,84261.0,14662.0
2024,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,82604.0,16969.0
2024,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,93375.0,21830.0
2024,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,79871.0,27840.0
