YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013G_001E,B19013G_001M
2024,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,143313.0,60327.0
2024,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2024,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,128281.0,103174.0
2024,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,,
2024,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,213800.0,44649.0
2024,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2024,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,107159.0,43250.0
2024,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,,
2024,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,123804.0,109846.0
2024,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,211455.0,119228.0
2024,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,194205.0,117751.0
2024,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,114444.0,40020.0
2024,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,108750.0,100705.0
2024,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,128281.0,103174.0
2024,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,158608.0,54252.0
2024,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,82358.0,28584.0
2024,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,57375.0,29401.0
2024,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,147396.0,140585.0
2024,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,123535.0,30042.0
2024,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,148782.0,71273.0
2024,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,67756.0,40852.0
2024,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,140208.0,79928.0
2024,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,91750.0,30689.0
2024,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,106292.0,19108.0
2024,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,132000.0,79978.0
2024,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,125729.0,38333.0
2024,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,104625.0,39701.0
2024,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,120909.0,35790.0
2024,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,113636.0,109707.0
2024,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,215345.0,180894.0
2024,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,75926.0,7142.0
2024,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,180147.0,176696.0
2024,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,,
2024,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,133958.0,40547.0
2024,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,,
2024,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,,
2024,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,89464.0,53266.0
2024,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,,
2024,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,104583.0,19834.0
2024,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,92059.0,81094.0
2024,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,,
2024,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,116473.0,31089.0
2024,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,103700.0,28688.0
2024,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,146146.0,89526.0
2024,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,68214.0,56298.0
2024,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,117500.0,93529.0
2024,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,165781.0,138921.0
2024,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,86531.0,33104.0
2024,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,224792.0,176640.0
2024,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,235208.0,181414.0
2024,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,127461.0,19554.0
2024,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,140500.0,42045.0
2024,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,104200.0,100133.0
2024,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,138427.0,35198.0
2024,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,64719.0,34668.0
2024,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2024,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,86321.0,55979.0
2024,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,133938.0,33020.0
2024,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,137644.0,80955.0
2024,6037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2024,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,81364.0,42585.0
2024,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,137940.0,29444.0
2024,6037400605,Census Tract 4006.05,Azusa,Los Angeles County,California,Azusa,94735.0,69605.0
2024,6037400801,Census Tract 4008.01,Azusa,Los Angeles County,California,Azusa,130156.0,64276.0
2024,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,99219.0,38503.0
2024,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,99009.0,88939.0
2024,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,,
2024,6037404203,Census Tract 4042.03,Azusa,Los Angeles County,California,Azusa,,
2024,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,99615.0,35026.0
2024,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,122692.0,82315.0
2024,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,86228.0,11026.0
2024,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,92065.0,45400.0
2024,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,69167.0,24727.0
2024,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,82500.0,28725.0
2024,6037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,113618.0,5012.0
2024,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,71250.0,41065.0
2024,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,86406.0,67162.0
2024,6037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,86429.0,60710.0
2024,6037404804,Census Tract 4048.04,Baldwin Park,Los Angeles County,California,BaldwinPark,77582.0,26119.0
2024,6037404805,Census Tract 4048.05,Baldwin Park,Los Angeles County,California,BaldwinPark,73036.0,32277.0
2024,6037404806,Census Tract 4048.06,Baldwin Park,Los Angeles County,California,BaldwinPark,38844.0,36363.0
2024,6037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,66641.0,47637.0
2024,6037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,59107.0,26015.0
2024,6037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,83750.0,10685.0
2024,6037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,83068.0,12704.0
2024,6037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,53641.0,14602.0
2024,6037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,88889.0,31141.0
2024,6037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,95625.0,61872.0
2024,6037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,81250.0,16637.0
2024,6037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2024,6037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,129250.0,69787.0
2024,6037406903,Census Tract 4069.03,Baldwin Park,Los Angeles County,California,BaldwinPark,121667.0,30479.0
2024,6037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,65489.0,41663.0
2024,6037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,108625.0,33729.0
