YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2013,06037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,47045,106316
2013,06037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,151250,350662
2013,06037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,121111,55843
2013,06037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,41364,55521
2013,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,56141,13773
2013,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,46667,39476
2013,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,21144,22159
2013,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,53594,37220
2013,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2013,06037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,41023,26550
2013,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,60917,34372
2013,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,73371,68731
2013,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,93571,34703
2013,06037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,64643,25341
2013,06037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,,
2013,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,26106,39893
2013,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,59950,29778
2013,06037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,35590,18621
2013,06037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,60789,17068
2013,06037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,85078,19627
2013,06037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,64659,42312
2013,06037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,29583,19578
2013,06037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,61964,21607
2013,06037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,34927,7361
2013,06037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,49700,8958
2013,06037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,51767,21578
2013,06037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,68283,10863
2013,06037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,49113,13292
2013,06037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,61555,2585
2013,06037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,42672,17231
2013,06037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,,
2013,06037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,46667,8024
2013,06037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,35625,4958
2013,06037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,51576,12200
2013,06037404801,Census Tract 4048.01,Baldwin Park,Los Angeles County,California,BaldwinPark,49457,16740
2013,06037404802,Census Tract 4048.02,Baldwin Park,Los Angeles County,California,BaldwinPark,35905,30836
2013,06037404803,Census Tract 4048.03,Baldwin Park,Los Angeles County,California,BaldwinPark,51528,38845
2013,06037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,56250,10145
2013,06037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,44938,21002
2013,06037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,55192,26059
2013,06037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,52663,10374
2013,06037405002,Census Tract 4050.02,Baldwin Park,Los Angeles County,California,BaldwinPark,68864,39633
2013,06037405101,Census Tract 4051.01,Baldwin Park,Los Angeles County,California,BaldwinPark,68906,33304
2013,06037405102,Census Tract 4051.02,Baldwin Park,Los Angeles County,California,BaldwinPark,33203,9697
2013,06037405201,Census Tract 4052.01,Baldwin Park,Los Angeles County,California,BaldwinPark,53269,18716
2013,06037405202,Census Tract 4052.02,Baldwin Park,Los Angeles County,California,BaldwinPark,60682,6734
2013,06037405203,Census Tract 4052.03,Baldwin Park,Los Angeles County,California,BaldwinPark,34698,31235
2013,06037406901,Census Tract 4069.01,Baldwin Park,Los Angeles County,California,BaldwinPark,56970,11899
2013,06037407001,Census Tract 4070.01,Baldwin Park,Los Angeles County,California,BaldwinPark,61250,25336
2013,06037407002,Census Tract 4070.02,Baldwin Park,Los Angeles County,California,BaldwinPark,63393,28822
2013,06037532304,Census Tract 5323.04,Bell,Los Angeles County,California,Bell,45417,38889
2013,06037533601,Census Tract 5336.01,Bell,Los Angeles County,California,Bell,33066,7073
2013,06037533602,Census Tract 5336.02,Bell,Los Angeles County,California,Bell,35833,8082
2013,06037533603,Census Tract 5336.03,Bell,Los Angeles County,California,Bell,42375,5790
2013,06037533703,Census Tract 5337.03,Bell,Los Angeles County,California,Bell,31012,12860
2013,06037533803,Census Tract 5338.03,Bell,Los Angeles County,California,Bell,35571,10157
2013,06037533804,Census Tract 5338.04,Bell,Los Angeles County,California,Bell,39545,6584
2013,06037533805,Census Tract 5338.05,Bell,Los Angeles County,California,Bell,46734,10727
2013,06037533806,Census Tract 5338.06,Bell,Los Angeles County,California,Bell,23563,16319
2013,06037551900,Census Tract 5519,Bellflower,Los Angeles County,California,Bellflower,88646,6861
2013,06037553000,Census Tract 5530,Bellflower,Los Angeles County,California,Bellflower,61944,32102
2013,06037553100,Census Tract 5531,Bellflower,Los Angeles County,California,Bellflower,66250,3068
2013,06037553200,Census Tract 5532,Bellflower,Los Angeles County,California,Bellflower,60040,29522
2013,06037553300,Census Tract 5533,Bellflower,Los Angeles County,California,Bellflower,21938,7352
2013,06037554001,Census Tract 5540.01,Bellflower,Los Angeles County,California,Bellflower,59839,26579
2013,06037554002,Census Tract 5540.02,Bellflower,Los Angeles County,California,Bellflower,56528,13652
2013,06037554101,Census Tract 5541.01,Bellflower,Los Angeles County,California,Bellflower,40379,13911
2013,06037554103,Census Tract 5541.03,Bellflower,Los Angeles County,California,Bellflower,103523,47487
2013,06037554104,Census Tract 5541.04,Bellflower,Los Angeles County,California,Bellflower,61667,47853
2013,06037554105,Census Tract 5541.05,Bellflower,Los Angeles County,California,Bellflower,24890,32310
2013,06037554201,Census Tract 5542.01,Bellflower,Los Angeles County,California,Bellflower,42045,6783
2013,06037554203,Census Tract 5542.03,Bellflower,Los Angeles County,California,Bellflower,40297,17987
2013,06037554204,Census Tract 5542.04,Bellflower,Los Angeles County,California,Bellflower,37788,28324
2013,06037554301,Census Tract 5543.01,Bellflower,Los Angeles County,California,Bellflower,72083,39401
2013,06037554302,Census Tract 5543.02,Bellflower,Los Angeles County,California,Bellflower,43405,32180
2013,06037554403,Census Tract 5544.03,Bellflower,Los Angeles County,California,Bellflower,45444,14012
2013,06037554404,Census Tract 5544.04,Bellflower,Los Angeles County,California,Bellflower,47803,18219
2013,06037554405,Census Tract 5544.05,Bellflower,Los Angeles County,California,Bellflower,51389,38815
2013,06037554406,Census Tract 5544.06,Bellflower,Los Angeles County,California,Bellflower,66432,7865
2013,06037533901,Census Tract 5339.01,Bell Gardens,Los Angeles County,California,BellGardens,43333,8706
2013,06037533902,Census Tract 5339.02,Bell Gardens,Los Angeles County,California,BellGardens,43835,8170
2013,06037534001,Census Tract 5340.01,Bell Gardens,Los Angeles County,California,BellGardens,44070,8214
2013,06037534002,Census Tract 5340.02,Bell Gardens,Los Angeles County,California,BellGardens,60375,23111
2013,06037534101,Census Tract 5341.01,Bell Gardens,Los Angeles County,California,BellGardens,56563,58220
2013,06037534102,Census Tract 5341.02,Bell Gardens,Los Angeles County,California,BellGardens,27885,4519
2013,06037534201,Census Tract 5342.01,Bell Gardens,Los Angeles County,California,BellGardens,30911,6972
2013,06037534202,Census Tract 5342.02,Bell Gardens,Los Angeles County,California,BellGardens,36083,4246
2013,06037534203,Census Tract 5342.03,Bell Gardens,Los Angeles County,California,BellGardens,39688,14332
2013,06037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,81875,14980
2013,06037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,,
2013,06037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,2499,
2013,06037430200,Census Tract 4302,Bradbury,Los Angeles County,California,Bradbury,,
2013,06037123103,Census Tract 1231.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),45815,11754
2013,06037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037310201,Census Tract 3102.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037310202,Census Tract 3102.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),15391,61572
2013,06037310300,Census Tract 3103,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),,
2013,06037310400,Census Tract 3104,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),40385,32846
2013,06037310501,Census Tract 3105.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),34167,16861
2013,06037310601,Census Tract 3106.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),74917,41205
2013,06037310602,Census Tract 3106.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),90438,63129
2013,06037310701,Census Tract 3107.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),66300,8577
2013,06037310702,Census Tract 3107.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),77577,5561
2013,06037310703,Census Tract 3107.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),36224,1226
2013,06037310800,Census Tract 3108,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),45224,7258
2013,06037310900,Census Tract 3109,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),42197,5234
2013,06037311000,Census Tract 3110,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),92917,14828
2013,06037311100,Census Tract 3111,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),99470,29399
2013,06037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),110273,104185
2013,06037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),52143,82738
2013,06037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),50893,14120
