YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2016,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,39000.0,30668.0
2016,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,91250.0,6121.0
2016,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,52031.0,26380.0
2016,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2016,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2016,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2016,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,91250.0,6121.0
2016,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2016,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,146094.0,51911.0
2016,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2016,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,76667.0,73229.0
2016,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,47344.0,19375.0
2016,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,107153.0,68828.0
2016,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,89643.0,57039.0
2016,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,38109.0,7441.0
2016,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,70735.0,23187.0
2016,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,59688.0,6973.0
2016,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,62225.0,39866.0
2016,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,56750.0,26717.0
2016,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,44444.0,23380.0
2016,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,51617.0,7465.0
2016,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,22875.0,14626.0
2016,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,60529.0,41402.0
2016,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,36250.0,23607.0
2016,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2016,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,75792.0,23391.0
2016,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,89464.0,78994.0
2016,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,105903.0,82695.0
2016,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,40074.0,22199.0
2016,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,,
2016,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,,
2016,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,132750.0,61275.0
2016,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,105556.0,89563.0
2016,6037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,68167.0,12513.0
2016,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,39444.0,13855.0
2016,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,35662.0,11647.0
2016,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,,
2016,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,45208.0,42729.0
2016,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,73792.0,1006.0
2016,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2016,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,157903.0,131243.0
2016,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,57031.0,19841.0
2016,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,73939.0,39564.0
2016,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,69306.0,43445.0
2016,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,,
2016,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,16071.0,2696.0
2016,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2016,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,,
