YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2011,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,87964,108385
2011,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,66542,18134
2011,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,140313,164654
2011,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2011,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,188125,278076
2011,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2011,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2011,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,51719,60500
2011,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2011,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,85847,9253
2011,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,98333,117741
2011,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,66542,18134
2011,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2011,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,62875,4887
2011,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,188125,278076
2011,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,87902,81417
2011,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,75458,36040
2011,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,39293,19223
2011,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,35788,15982
2011,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,83906,55648
2011,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,103662,6021
2011,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,41591,27686
2011,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,97083,100725
2011,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,59600,22851
2011,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,43477,24256
2011,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,70990,30659
2011,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,44259,44174
2011,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,44940,19014
2011,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,45625,44228
2011,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,76402,20041
2011,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,34097,10153
2011,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,65085,22318
2011,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,74028,21087
2011,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,54375,7891
2011,06037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2011,06037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,92679,16844
2011,06037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,66167,41045
2011,06037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,79037,33332
2011,06037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,40386,5441
2011,06037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,58693,63630
2011,06037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,88438,30399
2011,06037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,,
2011,06037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,65833,64095
2011,06037460900,Census Tract 4609,Altadena,Los Angeles County,California,Altadena,51304,25950
2011,06037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,55078,49359
2011,06037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,64432,58858
2011,06037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,,
2011,06037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,119792,300365
2011,06037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,75658,47935
2011,06037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,63894,69305
2011,06037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,143348,135574
2011,06037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,31149,16765
2011,06037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,65335,47158
2011,06037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,112651,103262
2011,06037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,58409,20465
2011,06037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,51094,66784
2011,06037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,,
2011,06037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,250001,
2011,06037430902,Census Tract 4309.02,Arcadia,Los Angeles County,California,Arcadia,46979,27490
2011,06037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,44922,47982
2011,06037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,50125,36211
2011,06037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,51346,87211
