YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013F_001E,B19013F_001M
2017,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,,
2017,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,,
2017,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,50705.0,20102.0
2017,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2017,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2017,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,28816.0,22830.0
2017,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,141964.0,20904.0
2017,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2017,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,80270.0,59468.0
2017,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,46771.0,16688.0
2017,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,,
2017,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,120820.0,46068.0
2017,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,76359.0,33586.0
2017,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,56111.0,33673.0
2017,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,58125.0,49994.0
