YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013A_001E,B19013A_001M
2024,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,149167.0,126321.0
2024,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,165833.0,20315.0
2024,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,139808.0,51133.0
2024,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,91775.0,19196.0
2024,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,161603.0,66251.0
2024,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,168900.0,78534.0
2024,6037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,107147.0,21708.0
2024,6037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,202625.0,20403.0
2024,6037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,169844.0,26211.0
2024,6037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,181328.0,75198.0
2024,6037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,205583.0,39706.0
2024,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,131974.0,18666.0
2024,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,200417.0,63024.0
2024,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,139808.0,51133.0
2024,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,99286.0,21405.0
2024,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,97944.0,13955.0
2024,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,83028.0,47569.0
2024,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,92969.0,51310.0
2024,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,181786.0,164073.0
2024,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,139000.0,39555.0
2024,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,91382.0,38124.0
2024,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,95303.0,70868.0
2024,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,156125.0,27502.0
2024,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,133699.0,2496.0
2024,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,86042.0,28351.0
2024,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,113211.0,52381.0
2024,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,117308.0,97524.0
2024,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,103000.0,44157.0
2024,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,125500.0,102033.0
2024,6037481800,Census Tract 4818,Alhambra,Los Angeles County,California,Alhambra,,
2024,6037481901,Census Tract 4819.01,Alhambra,Los Angeles County,California,Alhambra,192740.0,91129.0
2024,6037481902,Census Tract 4819.02,Alhambra,Los Angeles County,California,Alhambra,77188.0,35211.0
2024,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,96094.0,12734.0
2024,6037603706,Census Tract 6037.06,Alondra Park,Los Angeles County,California,AlondraPark,63669.0,14046.0
2024,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,152355.0,96635.0
2024,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,125114.0,55655.0
2024,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,183021.0,52428.0
2024,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,163906.0,62314.0
2024,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,215313.0,94259.0
2024,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,128188.0,34595.0
2024,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,165536.0,28309.0
2024,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,186591.0,51380.0
2024,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,106563.0,43522.0
2024,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,153438.0,61123.0
2024,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,159890.0,4676.0
2024,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,92972.0,22935.0
2024,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,121500.0,72872.0
2024,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,78375.0,50666.0
2024,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,128821.0,40749.0
2024,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,73089.0,8889.0
2024,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,84282.0,48419.0
2024,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,79464.0,33318.0
2024,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,111250.0,34023.0
2024,6037431400,Census Tract 4314,Arcadia,Los Angeles County,California,Arcadia,107083.0,31582.0
2024,6037431502,Census Tract 4315.02,Arcadia,Los Angeles County,California,Arcadia,84914.0,25202.0
2024,6037431600,Census Tract 4316,Arcadia,Los Angeles County,California,Arcadia,,
2024,6037431701,Census Tract 4317.01,Arcadia,Los Angeles County,California,Arcadia,202681.0,69178.0
2024,6037431800,Census Tract 4318,Arcadia,Los Angeles County,California,Arcadia,92596.0,68849.0
2024,6037432502,Census Tract 4325.02,Arcadia,Los Angeles County,California,Arcadia,105909.0,18716.0
2024,6037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,98250.0,65682.0
2024,6037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,90227.0,39939.0
2024,6037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,100536.0,53376.0
2024,6037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,91371.0,31218.0
2024,6037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2024,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,66458.0,23845.0
2024,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,,
2024,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,136786.0,69571.0
2024,6037980035,Census Tract 9800.35,Avocado Heights,Los Angeles County,California,AvocadoHeights,51786.0,32131.0
2024,6037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,118571.0,52006.0
2024,6037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,98214.0,38126.0
2024,6037400605,Census Tract 4006.05,Azusa,Los Angeles County,California,Azusa,85500.0,57905.0
2024,6037400801,Census Tract 4008.01,Azusa,Los Angeles County,California,Azusa,129035.0,16480.0
2024,6037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,90714.0,31499.0
2024,6037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,89079.0,41472.0
2024,6037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,117679.0,89302.0
2024,6037404203,Census Tract 4042.03,Azusa,Los Angeles County,California,Azusa,75750.0,28688.0
2024,6037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,116950.0,73714.0
2024,6037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,119167.0,113414.0
2024,6037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,99853.0,66412.0
2024,6037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,74091.0,39398.0
2024,6037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,53355.0,37234.0
2024,6037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,127024.0,77131.0
2024,6037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,,
2024,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,,
2024,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,60221.0,50485.0
