YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013A_001E,B19013A_001M
2015,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,58750.0,14459.0
2015,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,90767.0,15348.0
2015,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,90417.0,18644.0
2015,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,73750.0,23518.0
2015,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,88438.0,19822.0
2015,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,119291.0,9391.0
2015,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,113520.0,14539.0
2015,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,78107.0,12105.0
2015,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,71118.0,19021.0
2015,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,94982.0,17624.0
2015,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,149561.0,31621.0
2015,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,90767.0,15348.0
2015,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,83333.0,5738.0
2015,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,121667.0,18154.0
2015,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,88438.0,19822.0
2015,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,79028.0,20334.0
2015,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,40114.0,22385.0
2015,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,46012.0,11884.0
2015,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,66959.0,21805.0
2015,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,97065.0,12814.0
2015,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,67188.0,22696.0
2015,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,69643.0,39910.0
2015,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,69722.0,32716.0
2015,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,52240.0,25397.0
2015,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,40303.0,15298.0
2015,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,27414.0,9494.0
2015,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,77917.0,32584.0
2015,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,33534.0,5119.0
2015,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,112747.0,36533.0
2015,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,78580.0,25179.0
2015,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,73125.0,35985.0
2015,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,40972.0,32865.0
