YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013A_001E,B19013A_001M
2011,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,93173.0,43963.0
2011,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,94158.0,11612.0
2011,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,78365.0,22240.0
2011,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,77159.0,70918.0
2011,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,106250.0,22185.0
2011,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,117500.0,8399.0
2011,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,114444.0,19131.0
2011,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,87250.0,25759.0
2011,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,94412.0,30361.0
2011,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,92619.0,7029.0
2011,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,145357.0,20214.0
2011,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,94158.0,11612.0
2011,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,90250.0,12543.0
2011,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,109412.0,21402.0
2011,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,106250.0,22185.0
2011,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,71712.0,11283.0
2011,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,55536.0,15916.0
2011,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,62545.0,53043.0
2011,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,64025.0,16428.0
2011,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,128864.0,58683.0
2011,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,74683.0,6936.0
2011,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,67250.0,36032.0
2011,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,64423.0,21768.0
2011,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,67663.0,24082.0
2011,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,52804.0,21598.0
2011,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,33984.0,14629.0
2011,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,75000.0,37141.0
2011,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,32222.0,12906.0
2011,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,57500.0,9862.0
2011,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,48317.0,15399.0
2011,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,72500.0,20918.0
