YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2013,06037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,46371,12938
2013,06037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,42386,14113
2013,06037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,57625,71515
2013,06037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,86750,37921
2013,06037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,93929,26068
2013,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,58077,14452
2013,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,66053,9218
2013,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,42481,40379
2013,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,49821,5568
2013,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2013,06037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,41875,12475
2013,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,72536,15499
2013,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,69327,8675
2013,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,90875,12000
2013,06037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,81701,17518
2013,06037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,83250,38583
2013,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,36806,30567
2013,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,75352,18226
2013,06037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,36632,7346
2013,06037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,60592,17445
2013,06037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,71875,21782
2013,06037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,58259,6088
2013,06037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,33649,12230
