YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2012,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,90398.0,82297.0
2012,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,84427.0,6542.0
2012,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,62059.0,50841.0
2012,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,113295.0,94751.0
2012,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,148065.0,66886.0
2012,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,123455.0,53470.0
2012,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,62375.0,71898.0
2012,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,50119.0,71799.0
2012,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,128952.0,20683.0
2012,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,88828.0,40396.0
2012,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,96676.0,5459.0
2012,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,84427.0,6542.0
2012,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,89107.0,10590.0
2012,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,67420.0,52402.0
2012,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,148065.0,66886.0
2012,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,66635.0,28665.0
2012,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,69028.0,16220.0
2012,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,43214.0,16173.0
2012,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,55417.0,68377.0
2012,6037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,68523.0,20325.0
2012,6037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,84205.0,15804.0
2012,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,56136.0,15821.0
2012,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,71964.0,18323.0
2012,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,48656.0,10963.0
2012,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,46117.0,13559.0
2012,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,54784.0,16975.0
2012,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,72333.0,38739.0
2012,6037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,42634.0,9637.0
2012,6037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,73068.0,24445.0
2012,6037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,69426.0,28314.0
2012,6037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,43214.0,22747.0
2012,6037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,65152.0,32343.0
2012,6037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,44327.0,31474.0
2012,6037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,41719.0,27061.0
