YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013I_001E,B19013I_001M
2017,06037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,39605,20958
2017,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,94496,19318
2017,06037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,50745,17103
2017,06037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2017,06037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,74764,58609
2017,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,06037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,06037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,62675,22282
2017,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,88833,42270
2017,06037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,06037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,,
2017,06037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,94496,19318
2017,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,82500,26506
2017,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,77321,32753
2017,06037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,74764,58609
2017,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,82162,18592
2017,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,48194,11822
2017,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,42750,35802
2017,06037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,51328,21162
2017,06037480500,Census Tract 4805,Alhambra,Los Angeles County,California,Alhambra,129333,23662
2017,06037480704,Census Tract 4807.04,Alhambra,Los Angeles County,California,Alhambra,62778,19133
2017,06037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,70781,26806
2017,06037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,67083,20699
2017,06037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,60726,10634
2017,06037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,71250,12216
2017,06037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,45344,10702
2017,06037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,69779,18529
2017,06037481001,Census Tract 4810.01,Alhambra,Los Angeles County,California,Alhambra,46359,17923
2017,06037481002,Census Tract 4810.02,Alhambra,Los Angeles County,California,Alhambra,52727,8950
2017,06037481500,Census Tract 4815,Alhambra,Los Angeles County,California,Alhambra,74856,17384
2017,06037481603,Census Tract 4816.03,Alhambra,Los Angeles County,California,Alhambra,,
2017,06037481604,Census Tract 4816.04,Alhambra,Los Angeles County,California,Alhambra,57188,23883
2017,06037481605,Census Tract 4816.05,Alhambra,Los Angeles County,California,Alhambra,50547,14939
2017,06037481606,Census Tract 4816.06,Alhambra,Los Angeles County,California,Alhambra,73500,34213
