YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2012,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,160313.0,236020.0
2012,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,156250.0,59538.0
2012,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,175375.0,6264.0
2012,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,,
2012,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,,
2012,6037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,176667.0,48139.0
2012,6037800326,Census Tract 8003.26,Agoura Hills,Los Angeles County,California,AgouraHills,161818.0,62635.0
2012,6037800327,Census Tract 8003.27,Agoura Hills,Los Angeles County,California,AgouraHills,104432.0,52750.0
2012,6037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,168274.0,4518.0
2012,6037800329,Census Tract 8003.29,Agoura Hills,Los Angeles County,California,AgouraHills,122384.0,14152.0
2012,6037800332,Census Tract 8003.32,Agoura Hills,Los Angeles County,California,AgouraHills,131053.0,78029.0
2012,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,156250.0,59538.0
2012,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,80536.0,47358.0
2012,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,54107.0,265674.0
2012,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,,
2012,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,54688.0,27027.0
2012,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,48253.0,9750.0
2012,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,34038.0,6259.0
