YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013D_001E,B19013D_001M
2013,06037480011,Census Tract 4800.11,Arcadia,Los Angeles County,California,Arcadia,67885,20772
2013,06037554514,Census Tract 5545.14,Artesia,Los Angeles County,California,Artesia,81827,9546
2013,06037554515,Census Tract 5545.15,Artesia,Los Angeles County,California,Artesia,111250,32619
2013,06037554516,Census Tract 5545.16,Artesia,Los Angeles County,California,Artesia,101307,7589
2013,06037554521,Census Tract 5545.21,Artesia,Los Angeles County,California,Artesia,104688,31460
2013,06037554801,Census Tract 5548.01,Artesia,Los Angeles County,California,Artesia,68365,17457
2013,06037554802,Census Tract 5548.02,Artesia,Los Angeles County,California,Artesia,55705,5493
2013,06037554900,Census Tract 5549,Artesia,Los Angeles County,California,Artesia,80250,35090
2013,06037599000,Census Tract 5990,Avalon,Los Angeles County,California,Avalon,,
2013,06037599100,Census Tract 5991,Avalon,Los Angeles County,California,Avalon,,
2013,06037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,93942,1670
2013,06037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,52621,14257
2013,06037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,81250,18828
2013,06037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,71797,32173
2013,06037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,96250,35037
2013,06037400501,Census Tract 4005.01,Azusa,Los Angeles County,California,Azusa,205441,117059
2013,06037400602,Census Tract 4006.02,Azusa,Los Angeles County,California,Azusa,85114,172646
2013,06037400603,Census Tract 4006.03,Azusa,Los Angeles County,California,Azusa,80655,26330
2013,06037400604,Census Tract 4006.04,Azusa,Los Angeles County,California,Azusa,121705,36945
2013,06037400800,Census Tract 4008,Azusa,Los Angeles County,California,Azusa,118315,25342
2013,06037404000,Census Tract 4040,Azusa,Los Angeles County,California,Azusa,34744,42065
2013,06037404100,Census Tract 4041,Azusa,Los Angeles County,California,Azusa,85938,14344
2013,06037404201,Census Tract 4042.01,Azusa,Los Angeles County,California,Azusa,,
2013,06037404202,Census Tract 4042.02,Azusa,Los Angeles County,California,Azusa,53250,76910
2013,06037404301,Census Tract 4043.01,Azusa,Los Angeles County,California,Azusa,40714,40998
2013,06037404302,Census Tract 4043.02,Azusa,Los Angeles County,California,Azusa,53750,69690
2013,06037404401,Census Tract 4044.01,Azusa,Los Angeles County,California,Azusa,58182,40395
2013,06037404402,Census Tract 4044.02,Azusa,Los Angeles County,California,Azusa,79625,19053
2013,06037404501,Census Tract 4045.01,Azusa,Los Angeles County,California,Azusa,,
2013,06037404503,Census Tract 4045.03,Azusa,Los Angeles County,California,Azusa,114583,37429
2013,06037404504,Census Tract 4045.04,Azusa,Los Angeles County,California,Azusa,26534,7292
2013,06037930301,Census Tract 9303.01,Azusa,Los Angeles County,California,Azusa,,
2013,06037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,73906,17124
2013,06037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,51058,33186
2013,06037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,51250,196569
2013,06037404801,Census Tract 4048.01,Baldwin Park,Los Angeles County,California,BaldwinPark,46979,20258
